Test Number,TEST,X_Point1,Y_Point1,Z_Point1,X_Point2,Y_Point2,Z_Point2,X_Point3,Y_Point3,Z_Point3
Test1,Piston,-213.276,-67.295,-32.011,-65.743,-46.577,-59.546,-139.474,-84.706,-105.713
Test2,Piston,-213.28,-67.298,-32.008,-65.749,-46.577,-59.541,-139.48,-84.706,-105.71
Test3,Piston,-213.283,-67.3,-32.003,-65.751,-46.58,-59.537,-139.482,-84.707,-105.705
Test4,Piston,-213.284,-67.3,-32,-65.75,-46.578,-59.535,-139.481,-84.707,-105.703
Test5,Piston,-213.284,-67.302,-31.997,-65.752,-46.581,-59.531,-139.482,-84.709,-105.7
Test6,Piston,-213.287,-67.305,-31.992,-65.754,-46.581,-59.524,-139.485,-84.711,-105.695
Test7,Piston,-213.287,-67.305,-31.994,-65.754,-46.581,-59.525,-139.485,-84.71,-105.696
Test8,Piston,-213.281,-67.313,-31.988,-65.745,-46.594,-59.518,-139.476,-84.72,-105.687
Test9,Piston,-213.281,-67.313,-31.988,-65.747,-46.591,-59.52,-139.479,-84.718,-105.692
Test10,Piston,-213.282,-67.312,-31.987,-65.747,-46.591,-59.518,-139.479,-84.718,-105.69
Test1,Piston_Rail,-213.282,-67.312,-31.987,-65.747,-46.591,-59.518,-139.479,-84.718,-105.69
Test2,Piston_Rail,-213.275,-67.311,-31.987,-65.74,-46.591,-59.518,-139.473,-84.718,-105.688
Test3,Piston_Rail,-213.283,-67.324,-31.971,-65.749,-46.603,-59.502,-139.48,-84.731,-105.674
Test4,Piston_Rail,-213.271,-67.294,-32.002,-65.737,-46.574,-59.535,-139.468,-84.701,-105.703
Test5,Piston_Rail,-213.274,-67.307,-31.987,-65.74,-46.584,-59.518,-139.472,-84.711,-105.689
Test6,Piston_Rail,-213.288,-67.335,-31.962,-65.753,-46.617,-59.498,-139.486,-84.742,-105.666
Test7,Piston_Rail,-213.262,-67.341,-31.976,-65.722,-46.601,-59.512,-139.457,-84.723,-105.687
Test8,Piston_Rail,-213.284,-67.322,-31.972,-65.748,-46.6,-59.505,-139.479,-84.726,-105.676
Test9,Piston_Rail,-213.278,-67.284,-32.014,-65.745,-46.565,-59.551,-139.479,-84.695,-105.715
Test10,Piston_Rail,-213.281,-67.285,-32.007,-65.749,-46.562,-59.544,-139.48,-84.693,-105.71
Test1,Rail (Downside Piston),-213.278,-67.254,-32.018,-65.743,-46.564,-59.545,-139.478,-84.678,-105.715
Test2,Rail (Downside Piston),-213.241,-67.259,-32.019,-65.701,-46.594,-59.529,-139.438,-84.699,-105.708
Test3,Rail (Downside Piston),-213.24,-67.248,-32.03,-65.697,-46.587,-59.538,-139.433,-84.691,-105.717
Test4,Rail (Downside Piston),-213.239,-67.249,-32.028,-65.695,-46.589,-59.535,-139.43,-84.693,-105.715
Test5,Rail (Downside Piston),-213.259,-67.25,-32.024,-65.72,-46.568,-59.544,-139.455,-84.679,-105.717
Test6,Rail (Downside Piston),-213.28,-67.291,-31.982,-65.743,-46.607,-59.508,-139.478,-84.719,-105.68
Test7,Rail (Downside Piston),-213.258,-67.255,-32.017,-65.721,-46.575,-59.537,-139.456,-84.685,-105.71
Test8,Rail (Downside Piston),-213.24,-67.229,-32.042,-65.7,-46.56,-59.555,-139.433,-84.667,-105.732
Test9,Rail (Downside Piston),-213.272,-67.231,-32.04,-65.736,-46.548,-59.563,-139.471,-84.662,-105.734
Test10,Rail (Downside Piston),-213.263,-67.283,-31.994,-65.723,-46.616,-59.506,-139.458,-84.722,-105.683
